电影详情链接,图片链接,影片中文名,影片外国名,评分,评价数,概况,相关信息
https://movie.douban.com/subject/1292052/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,肖申克的救赎,  The Shawshank Redemption,9.7,2978452,希望让人自由,导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins ...1994  美国  犯罪 剧情
https://movie.douban.com/subject/1291546/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,霸王别姬, ,9.6,2200723,风华绝代,导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung  张丰毅 Fengyi Zha...1993  中国大陆 中国香港  剧情 爱情 同性
https://movie.douban.com/subject/1292720/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,阿甘正传,  Forrest Gump,9.5,2219568,一部美国近现代史,导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks  ...1994  美国  剧情 爱情
https://movie.douban.com/subject/1292722/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg,泰坦尼克号,  Titanic,9.5,2256152,失去的才是永恒的 ,导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...1997  美国 墨西哥  剧情 爱情 灾难
https://movie.douban.com/subject/1295644/,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,这个杀手不太冷,  Léon,9.4,2350484,怪蜀黍和小萝莉不得不说的故事,导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno  娜塔莉·波特曼 ...1994  法国 美国  剧情 动作 犯罪
https://movie.douban.com/subject/1291561/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,千与千寻,  千と千尋の神隠し,9.4,2302759,最好的宫崎骏，最好的久石让 ,导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi  入野自由 Miy...2001  日本  剧情 动画 奇幻
https://movie.douban.com/subject/1292063/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,美丽人生,  La vita è bella,9.5,1359937,最美的谎言,导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...1997  意大利  剧情 喜剧 爱情 战争
https://movie.douban.com/subject/1889243/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,星际穿越,  Interstellar,9.4,1914076,爱是一种力量，让我们超越时空感知它的存在,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...2014  美国 英国 加拿大  剧情 科幻 冒险
https://movie.douban.com/subject/3541415/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,盗梦空间,  Inception,9.4,2123055,诺兰给了我们一场无法盗取的梦,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...2010  美国 英国  剧情 科幻 悬疑 冒险
https://movie.douban.com/subject/1295124/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,辛德勒的名单,  Schindler's List,9.5,1148990,拯救一个人，就是拯救整个世界,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...1993  美国  剧情 历史 战争
https://movie.douban.com/subject/1292064/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,楚门的世界,  The Truman Show,9.4,1773559,如果再也不能见到你，祝你早安，午安，晚安,导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey  劳拉·琳妮 Lau...1998  美国  剧情 科幻
https://movie.douban.com/subject/3011091/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg,忠犬八公的故事,  Hachi: A Dog's Tale,9.4,1429127,永远都不能忘记你所爱的人,导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...2009  美国 英国  剧情
